start_year,total_deaths
1816,33634.0
1817,25640.0
1818,18500.0
1819,59991.0
1820,6455.0
1821,13912.0
1823,31000.0
1824,8782.0
1825,222891.0
1826,53600.0
1827,156.0
1828,154000.0
1829,2826.0
1830,23391.0
1831,48574.0
1832,773.0
1833,-9.0
1834,126982.0
1835,12381.0
1836,18323.0
1837,19682.0
1838,4491.0
1839,67141.0
1840,31488.0
1841,4255.0
1842,4600.0
1843,10636.0
1844,991.0
1845,12484.0
1846,24249.0
1847,11782.0
1848,98370.0
1849,19892.0
1850,7391.0
1851,6891.0
1852,13182.0
1853,144982.0
1854,119091.0
1855,20773.0
1856,30647.0
1857,22491.0
1858,10373.0
1859,54500.0
1860,128419.0
1861,618982.0
1862,27049.0
1863,55576.0
1864,307082.0
1865,12600.0
1866,45746.0
1867,3700.0
1868,184946.0
1869,1473.0
1870,212777.0
1871,38548.0
1872,50000.0
1873,25500.0
1874,-36.0
1875,22700.0
1876,14734.0
1877,305900.0
1878,40991.0
1879,26068.0
1880,3591.0
1881,50483.0
1882,16579.0
1883,11083.0
1884,23100.0
1885,46182.0
1887,1400.0
1888,5982.0
1890,4082.0
1891,12200.0
1892,21880.0
1893,15252.0
1894,25947.0
1895,112774.0
1896,32382.0
1897,4111.0
1898,5685.0
1899,156025.0
1900,9003.0
1901,8383.0
1902,3982.0
1903,7421.0
1904,221604.0
1905,10331.0
1906,5436.0
1907,30369.0
1908,-18.0
1909,22074.0
1910,102732.0
1911,26000.0
1912,88623.0
1913,63915.0
1914,7407319.0
1915,737507.0
1916,344260.0
1917,921516.0
1918,44107.0
1919,210989.0
1920,28978.0
1921,68533.0
1922,-18.0
1923,39964.0
1924,-45.0
1925,15974.0
1926,136000.0
1927,492.0
1928,14964.0
1929,10682.0
1930,502141.0
1931,80000.0
1932,96343.0
1934,4409.0
1935,20000.0
1936,479052.0
1937,1000000.0
1938,1726.0
1939,4726105.0
1940,217200.0
1941,11805400.0
1943,52400.0
1944,80199.0
1945,100475.0
1946,1469491.0
1947,22818.0
1948,50065.0
1950,933527.0
1951,1039.0
1952,20082.0
1953,5700.0
1954,34370.0
1955,-18.0
1956,48847.0
1957,3022.0
1958,7925.0
1959,-27.0
1960,105224.0
1961,31981.0
1962,13327.0
1963,21671.0
1964,17920.0
1965,1030144.0
1966,5502.0
1967,49097.0
1968,18917.0
1969,11268.0
1970,15648.0
1971,103134.0
1972,76182.0
1973,29428.0
1974,21474.0
1975,89124.0
1976,50500.0
1977,18500.0
1978,75638.0
1979,63721.0
1980,1425026.0
1981,3000.0
1982,126348.0
1983,29990.0
1984,11691.0
1985,7.0
1986,28000.0
1987,5111.0
1988,-36.0
1989,35504.0
1990,68692.0
1991,30114.0
1992,51172.0
1993,21947.0
1994,10123.0
1995,1474.0
1996,-54.0
1997,5814.0
1998,120871.0
1999,32768.0
2000,4247.0
2001,27068.0
2002,2665.0
2003,40848.0
2004,16047.0
2005,3923.0
2006,-70.0
2007,3483.0
